email_text,category,sentiment
"Hi, I am looking forward to our catch-up meeting next week.",Meeting,Positive
Please find attached the report for Q3. Let me know if you need any revisions.,Work,Neutral
"Dear team, Can you pick up some groceries on your way back?",Personal,Neutral
Your computer is infected with a virus! Call this number to fix it.,Spam,Negative
Thank you for resolving my issue so quickly! Great support.,Customer Support,Positive
"Hello, Please find my resume attached for the Software Engineer position.",Job/Career,Neutral
Here is the budget breakdown for the next fiscal year.,Finance,Neutral
Can you pick up some groceries on your way back?,Personal,Neutral
"Hey there, Thank you for your guidance, I learned a lot during my internship.",Job/Career,Positive
Upgrade now to premium and get the first month entirely free.,Promotion,Positive
Can you pick up some groceries on your way back?,Personal,Neutral
"Dear team, Get 50% off your next purchase using this exclusive promo code!",Promotion,Positive
The service at your restaurant was terrible. I waited an hour for my food.,Complaint,Negative
"Hi, Make money from home with zero investment. Join our scheme today.",Spam,Neutral
Here is the budget breakdown for the next fiscal year.,Finance,Neutral
The meeting yesterday was very productive. Thanks for organizing.,Meeting,Positive
"Hey there, How do I reset my password? I forgot it.",Customer Support,Neutral
The service at your restaurant was terrible. I waited an hour for my food.,Complaint,Negative
"Hello, Unfortunately, we will not be moving forward with your application at this time.",Job/Career,Negative
"Dear team, Here is the recipe for the chocolate cake.",Other,Neutral
"Hey there, I need help configuring the API settings on my dashboard.",Customer Support,Neutral
"Hi, I need help configuring the API settings on my dashboard.",Customer Support,Neutral
"Hey, are we still on for dinner tonight at 10 AM?",Personal,Neutral
"Dear team, Do you know what time the library closes today?",Other,Neutral
Upgrade now to premium and get the first month entirely free.,Promotion,Positive
Emergency maintenance will be performed tonight from 12 AM to 4 AM.,Important,Negative
"Dear team, Unfortunately, we will not be moving forward with your application at this time.",Job/Career,Negative
"Hello, The server is down again. This is unacceptable, please fix it ASAP.",Work,Negative
"Hey there, I am disappointed with the delay in the project delivery. We need to discuss this.",Work,Negative
"Thank you for your guidance, I learned a lot during my internship.",Job/Career,Positive
Here is the budget breakdown for the next fiscal year.,Finance,Neutral
Let's schedule a meeting for Monday at 2 PM to discuss the roadmap.,Meeting,Neutral
I am looking forward to our catch-up meeting Thursday.,Meeting,Positive
Flash sale! All items are 20% off for the next 24 hours.,Promotion,Positive
"Hello, The service at your restaurant was terrible. I waited an hour for my food.",Complaint,Negative
Check out our new collection of winter wear.,Promotion,Neutral
URGENT: The production database is down. We need immediate assistance.,Important,Negative
I left my umbrella at the office.,Other,Neutral
"Hi, Great job on the presentation today! The client was very impressed.",Work,Positive
"Hello, The product I received is damaged. I want a full refund immediately.",Complaint,Negative
Your assignment is due on Friday by 11:59 PM via the student portal.,Education,Neutral
"Hey there, Critical update regarding the company policy changes starting next month.",Important,Neutral
I am looking forward to our catch-up meeting Wednesday.,Meeting,Positive
"Hello, I am disputing the recent charge of $50 on my credit card. It was not authorized.",Finance,Negative
"Hi, I'm sorry, I won't be able to make it to your party. Feeling a bit sick.",Personal,Negative
"Dear team, Your payment has been successfully received. Thank you for your business.",Finance,Positive
"Dear team, Let's schedule a meeting for Monday at 4:30 PM to discuss the roadmap.",Meeting,Neutral
"Hi, Here is the recipe for the chocolate cake.",Other,Neutral
"Hello, I left my umbrella at the office.",Other,Neutral
"Hello, Let's schedule a meeting for Monday at 9 AM to discuss the roadmap.",Meeting,Neutral
"Dear team, I would like to schedule an interview with you for next Tuesday at 11 AM.",Job/Career,Neutral
Important notice: Your account will be suspended if you do not verify your email.,Important,Negative
"Hey there, Get 50% off your next purchase using this exclusive promo code!",Promotion,Positive
"Hello, I am disputing the recent charge of $50 on my credit card. It was not authorized.",Finance,Negative
"Hello, The software update completely broke my application workflow.",Complaint,Negative
I have been trying to reach support for days with no response. This is frustrating.,Complaint,Negative
URGENT: The production database is down. We need immediate assistance.,Important,Negative
I need help configuring the API settings on my dashboard.,Customer Support,Neutral
The service at your restaurant was terrible. I waited an hour for my food.,Complaint,Negative
I am disputing the recent charge of $50 on my credit card. It was not authorized.,Finance,Negative
The weather looks nice outside.,Other,Positive
The product I received is damaged. I want a full refund immediately.,Complaint,Negative
"Thank you for your guidance, I learned a lot during my internship.",Job/Career,Positive
Congratulations! You are the 100th visitor today. Claim your free iPhone.,Spam,Positive
Upgrade now to premium and get the first month entirely free.,Promotion,Positive
"Dear team, Here is the recipe for the chocolate cake.",Other,Neutral
"Hi, Do you know what time the library closes today?",Other,Neutral
"Hello, You have won $1,000,000! Click here to claim your prize immediately.",Spam,Positive
"Dear team, Our Black Friday sale starts now! Don't miss out on these huge discounts.",Promotion,Positive
Your computer is infected with a virus! Call this number to fix it.,Spam,Negative
"Hi, Critical update regarding the company policy changes starting next month.",Important,Neutral
"Unfortunately, we will not be moving forward with your application at this time.",Job/Career,Negative
"Dear team, I need help configuring the API settings on my dashboard.",Customer Support,Neutral
Important notice: Your account will be suspended if you do not verify your email.,Important,Negative
"Hello, Congratulations on passing the final exam with flying colors!",Education,Positive
Thank you for resolving my issue so quickly! Great support.,Customer Support,Positive
Can someone please guide me on how to upgrade my subscription plan?,Customer Support,Neutral
Great job on the presentation today! The client was very impressed.,Work,Positive
"Hi, The weather looks nice outside.",Other,Positive
"Dear team, The product I received is damaged. I want a full refund immediately.",Complaint,Negative
"Hey there, How do I reset my password? I forgot it.",Customer Support,Neutral
"Dear team, Happy Birthday! Hope you have a fantastic day.",Personal,Positive
"Hey there, Action Required: Update your account security settings before the deadline.",Important,Neutral
"Hey there, I am disappointed with the delay in the project delivery. We need to discuss this.",Work,Negative
Get 50% off your next purchase using this exclusive promo code!,Promotion,Positive
We need to postpone the meeting because key stakeholders are unavailable.,Meeting,Negative
"Hi, Can you pick up some groceries on your way back?",Personal,Neutral
"Dear team, Unfortunately, we will not be moving forward with your application at this time.",Job/Career,Negative
"Hi, Flash sale! All items are 20% off for the next 24 hours.",Promotion,Positive
"Hi, We noticed an overdue balance on your account. Please pay immediately to avoid fees.",Finance,Negative
Upgrade now to premium and get the first month entirely free.,Promotion,Positive
"Hi, I'm sorry, I won't be able to make it to your party. Feeling a bit sick.",Personal,Negative
I am disputing the recent charge of $50 on my credit card. It was not authorized.,Finance,Negative
Thank you for resolving my issue so quickly! Great support.,Customer Support,Positive
Do you know what time the library closes today?,Other,Neutral
"Dear team, Here is the budget breakdown for the next fiscal year.",Finance,Neutral
"Hey there, Your invoice #4923 is attached. Please process the payment by the 15th.",Finance,Neutral
"Hi, Can you pick up some groceries on your way back?",Personal,Neutral
"Hello, Here is the budget breakdown for the next fiscal year.",Finance,Neutral
Just testing if this email address works.,Other,Neutral
Can you pick up some groceries on your way back?,Personal,Neutral
"Hello, I have been trying to reach support for days with no response. This is frustrating.",Complaint,Negative
"You have won $1,000,000! Click here to claim your prize immediately.",Spam,Positive
Can someone please guide me on how to upgrade my subscription plan?,Customer Support,Neutral
Your invoice #4923 is attached. Please process the payment by the 15th.,Finance,Neutral
I am disappointed with the delay in the project delivery. We need to discuss this.,Work,Negative
I am disputing the recent charge of $50 on my credit card. It was not authorized.,Finance,Negative
Your invoice #4923 is attached. Please process the payment by the 15th.,Finance,Neutral
Emergency maintenance will be performed tonight from 12 AM to 4 AM.,Important,Negative
Flash sale! All items are 20% off for the next 24 hours.,Promotion,Positive
"Hi, The weather looks nice outside.",Other,Positive
"Thank you for your guidance, I learned a lot during my internship.",Job/Career,Positive
"Hi, We noticed an overdue balance on your account. Please pay immediately to avoid fees.",Finance,Negative
"Hi, You have won $1,000,000! Click here to claim your prize immediately.",Spam,Positive
Upgrade now to premium and get the first month entirely free.,Promotion,Positive
We need to postpone the meeting because key stakeholders are unavailable.,Meeting,Negative
Please find my resume attached for the Software Engineer position.,Job/Career,Neutral
The lecture has been rescheduled to Thursday at 14:30 PM in Room 302.,Education,Neutral
"Hello, Your computer is infected with a virus! Call this number to fix it.",Spam,Negative
"Hey there, We need to postpone the meeting because key stakeholders are unavailable.",Meeting,Negative
Do you know what time the library closes today?,Other,Neutral
"Hello, Please find my resume attached for the Software Engineer position.",Job/Career,Neutral
"Hi, We are excited to offer you the position of Data Scientist at our company!",Job/Career,Positive
"Dear team, I am struggling with chapter 4. Could you explain the main concept again?",Education,Negative
"Dear team, I have been trying to reach support for days with no response. This is frustrating.",Complaint,Negative
"Hello, I have been trying to reach support for days with no response. This is frustrating.",Complaint,Negative
"Dear team, I would like to schedule an interview with you for next Tuesday at 11 AM.",Job/Career,Neutral
Congratulations on passing the final exam with flying colors!,Education,Positive
Congratulations on passing the final exam with flying colors!,Education,Positive
"Hello, Upgrade now to premium and get the first month entirely free.",Promotion,Positive
"Hello, Get 50% off your next purchase using this exclusive promo code!",Promotion,Positive
Here is the budget breakdown for the next fiscal year.,Finance,Neutral
"Hey there, My internet connection keeps dropping every five minutes. Fix it.",Complaint,Negative
We need to postpone the meeting because key stakeholders are unavailable.,Meeting,Negative
Your payment has been successfully received. Thank you for your business.,Finance,Positive
"Hey there, I would like to schedule an interview with you for next Tuesday at 11 AM.",Job/Career,Neutral
"Hello, Happy Birthday! Hope you have a fantastic day.",Personal,Positive
The service at your restaurant was terrible. I waited an hour for my food.,Complaint,Negative
Please find my resume attached for the Software Engineer position.,Job/Career,Neutral
"Hi, My internet connection keeps dropping every five minutes. Fix it.",Complaint,Negative
Here is the recipe for the chocolate cake.,Other,Neutral
"Hey there, Your computer is infected with a virus! Call this number to fix it.",Spam,Negative
"Hello, Congratulations! You are the 100th visitor today. Claim your free iPhone.",Spam,Positive
"Hey there, Great job on the presentation today! The client was very impressed.",Work,Positive
The software update completely broke my application workflow.,Complaint,Negative
Please find my resume attached for the Software Engineer position.,Job/Career,Neutral
"Hi, The product I received is damaged. I want a full refund immediately.",Complaint,Negative
"Hello, The new feature is amazing, thanks for adding it based on my request.",Customer Support,Positive
"Dear team, I am struggling with chapter 4. Could you explain the main concept again?",Education,Negative
I left my umbrella at the office.,Other,Neutral
"Dear team, I am writing to request an extension on my project deadline due to a family emergency.",Education,Negative
Here is the recipe for the chocolate cake.,Other,Neutral
"Hello, Make money from home with zero investment. Join our scheme today.",Spam,Neutral
The software update completely broke my application workflow.,Complaint,Negative
Your assignment is due on Friday by 11:59 PM via the student portal.,Education,Neutral
"Hi, Our Black Friday sale starts now! Don't miss out on these huge discounts.",Promotion,Positive
"Hi, The service at your restaurant was terrible. I waited an hour for my food.",Complaint,Negative
"Hi, Happy Birthday! Hope you have a fantastic day.",Personal,Positive
"Hello, Action Required: Update your account security settings before the deadline.",Important,Neutral
"Hello, Important notice: Your account will be suspended if you do not verify your email.",Important,Negative
The service at your restaurant was terrible. I waited an hour for my food.,Complaint,Negative
"I'm sorry, I won't be able to make it to your party. Feeling a bit sick.",Personal,Negative
"Dear team, Please find my resume attached for the Software Engineer position.",Job/Career,Neutral
"Dear team, Emergency maintenance will be performed tonight from 12 AM to 4 AM.",Important,Negative
The software update completely broke my application workflow.,Complaint,Negative
We noticed an overdue balance on your account. Please pay immediately to avoid fees.,Finance,Negative
Action Required: Update your account security settings before the deadline.,Important,Neutral
"Hi, Please find my resume attached for the Software Engineer position.",Job/Career,Neutral
"Hey there, We need to postpone the meeting because key stakeholders are unavailable.",Meeting,Negative
Upgrade now to premium and get the first month entirely free.,Promotion,Positive
I am disappointed with the delay in the project delivery. We need to discuss this.,Work,Negative
"Hey there, I am writing to request an extension on my project deadline due to a family emergency.",Education,Negative
I would like to schedule an interview with you for next Tuesday at 11 AM.,Job/Career,Neutral
"Hello, Unfortunately, we will not be moving forward with your application at this time.",Job/Career,Negative
We need to postpone the meeting because key stakeholders are unavailable.,Meeting,Negative
We need to postpone the meeting because key stakeholders are unavailable.,Meeting,Negative
"Hi, Emergency maintenance will be performed tonight from 12 AM to 4 AM.",Important,Negative
Can you pick up some groceries on your way back?,Personal,Neutral
Just testing if this email address works.,Other,Neutral
"Dear team, Thank you for your guidance, I learned a lot during my internship.",Job/Career,Positive
"Hey there, We need to postpone the meeting because key stakeholders are unavailable.",Meeting,Negative
"Dear team, I am looking forward to our catch-up meeting next week.",Meeting,Positive
I am struggling with chapter 4. Could you explain the main concept again?,Education,Negative
Let's schedule a meeting for Tuesday at 9 AM to discuss the roadmap.,Meeting,Neutral
I am writing to request an extension on my project deadline due to a family emergency.,Education,Negative
"Dear team, Can someone please guide me on how to upgrade my subscription plan?",Customer Support,Neutral
Your computer is infected with a virus! Call this number to fix it.,Spam,Negative
"Hello, The service at your restaurant was terrible. I waited an hour for my food.",Complaint,Negative
"Dear team, Lose weight fast with this miracle pill. Buy now!",Spam,Neutral
"Hello, I would like to schedule an interview with you for next Tuesday at 11 AM.",Job/Career,Neutral
"Hello, I would like to schedule an interview with you for next Tuesday at 11 AM.",Job/Career,Neutral
Your assignment is due on Friday by 11:59 PM via the student portal.,Education,Neutral
"Hello, Important notice: Your account will be suspended if you do not verify your email.",Important,Negative
"Hello, My internet connection keeps dropping every five minutes. Fix it.",Complaint,Negative
Get 50% off your next purchase using this exclusive promo code!,Promotion,Positive
"Hey there, Can someone please guide me on how to upgrade my subscription plan?",Customer Support,Neutral
Can you pick up some groceries on your way back?,Personal,Neutral
Congratulations! You are the 100th visitor today. Claim your free iPhone.,Spam,Positive
"Hey, are we still on for dinner tonight at 4:30 PM?",Personal,Neutral
I need help configuring the API settings on my dashboard.,Customer Support,Neutral
Happy Birthday! Hope you have a fantastic day.,Personal,Positive
"Hi, Action Required: Update your account security settings before the deadline.",Important,Neutral
Lose weight fast with this miracle pill. Buy now!,Spam,Neutral
"Hey there, How do I reset my password? I forgot it.",Customer Support,Neutral
"The new feature is amazing, thanks for adding it based on my request.",Customer Support,Positive
The meeting yesterday was very productive. Thanks for organizing.,Meeting,Positive
"Hey there, You have won $1,000,000! Click here to claim your prize immediately.",Spam,Positive
"Hello, Please find my resume attached for the Software Engineer position.",Job/Career,Neutral
"Dear team, The lecture has been rescheduled to Wednesday at 9 AM in Room 302.",Education,Neutral
"Hey there, Please find my resume attached for the Software Engineer position.",Job/Career,Neutral
Emergency maintenance will be performed tonight from 12 AM to 4 AM.,Important,Negative
Important notice: Your account will be suspended if you do not verify your email.,Important,Negative
Emergency maintenance will be performed tonight from 12 AM to 4 AM.,Important,Negative
"Hi, Your payment has been successfully received. Thank you for your business.",Finance,Positive
Emergency maintenance will be performed tonight from 12 AM to 4 AM.,Important,Negative
Congratulations on passing the final exam with flying colors!,Education,Positive
"Hey, are we still on for dinner tonight at 10 AM?",Personal,Neutral
Let's schedule a meeting for Tuesday at 2 PM to discuss the roadmap.,Meeting,Neutral
Your payment has been successfully received. Thank you for your business.,Finance,Positive
"Hey there, Lose weight fast with this miracle pill. Buy now!",Spam,Neutral
"Hey there, I am writing to request an extension on my project deadline due to a family emergency.",Education,Negative
"Hi, Emergency maintenance will be performed tonight from 12 AM to 4 AM.",Important,Negative
"Dear team, I have been trying to reach support for days with no response. This is frustrating.",Complaint,Negative
"Hi, You have won $1,000,000! Click here to claim your prize immediately.",Spam,Positive
"Hey, are we still on for dinner tonight at 9 AM?",Personal,Neutral
"Hey there, Do you know what time the library closes today?",Other,Neutral
"Hey there, Critical update regarding the company policy changes starting next month.",Important,Neutral
I am looking forward to our catch-up meeting Friday.,Meeting,Positive
"Hi, The service at your restaurant was terrible. I waited an hour for my food.",Complaint,Negative
"Hi, The meeting yesterday was very productive. Thanks for organizing.",Meeting,Positive
Do you know what time the library closes today?,Other,Neutral
The software update completely broke my application workflow.,Complaint,Negative
"Hello, Can you send me the latest source code for the new feature?",Work,Neutral
"Hello, I am writing to request an extension on my project deadline due to a family emergency.",Education,Negative
"Hello, We need to postpone the meeting because key stakeholders are unavailable.",Meeting,Negative
Here is the recipe for the chocolate cake.,Other,Neutral
"Hi, Your computer is infected with a virus! Call this number to fix it.",Spam,Negative
"Hello, The service at your restaurant was terrible. I waited an hour for my food.",Complaint,Negative
"Dear team, Please find attached the report for Q3. Let me know if you need any revisions.",Work,Neutral
Your assignment is due on Friday by 11:59 PM via the student portal.,Education,Neutral
Please find attached the report for Q3. Let me know if you need any revisions.,Work,Neutral
We noticed an overdue balance on your account. Please pay immediately to avoid fees.,Finance,Negative
Important notice: Your account will be suspended if you do not verify your email.,Important,Negative
I left my umbrella at the office.,Other,Neutral
"Dear team, We noticed an overdue balance on your account. Please pay immediately to avoid fees.",Finance,Negative
"Hey there, Emergency maintenance will be performed tonight from 12 AM to 4 AM.",Important,Negative
"Dear team, Congratulations on passing the final exam with flying colors!",Education,Positive
"Hi, Thank you for your guidance, I learned a lot during my internship.",Job/Career,Positive
"Hey there, The weather looks nice outside.",Other,Positive
Emergency maintenance will be performed tonight from 12 AM to 4 AM.,Important,Negative
Can you send me the latest source code for the new feature?,Work,Neutral
"Hello, Happy Birthday! Hope you have a fantastic day.",Personal,Positive
URGENT: The production database is down. We need immediate assistance.,Important,Negative
I am disappointed with the delay in the project delivery. We need to discuss this.,Work,Negative
"Hi, Can you pick up some groceries on your way back?",Personal,Neutral
"Unfortunately, we will not be moving forward with your application at this time.",Job/Career,Negative
"Hi, How do I reset my password? I forgot it.",Customer Support,Neutral
Here is the budget breakdown for the next fiscal year.,Finance,Neutral
"Hey there, I have been trying to reach support for days with no response. This is frustrating.",Complaint,Negative
"Hi, The lecture has been rescheduled to Friday at 9 AM in Room 302.",Education,Neutral
"The new feature is amazing, thanks for adding it based on my request.",Customer Support,Positive
URGENT: The production database is down. We need immediate assistance.,Important,Negative
I am disputing the recent charge of $50 on my credit card. It was not authorized.,Finance,Negative
Action Required: Update your account security settings before the deadline.,Important,Neutral
"Hello, It was wonderful seeing you over the weekend. Let's catch up again soon!",Personal,Positive
"Dear team, Please find attached the report for Q3. Let me know if you need any revisions.",Work,Neutral
"Dear team, I would like to schedule an interview with you for next Tuesday at 11 AM.",Job/Career,Neutral
Here is the zoom link for our daily standup at 9:30 AM.,Meeting,Neutral
Here is the recipe for the chocolate cake.,Other,Neutral
"Hello, We are excited to offer you the position of Data Scientist at our company!",Job/Career,Positive
"The new feature is amazing, thanks for adding it based on my request.",Customer Support,Positive
Can someone please guide me on how to upgrade my subscription plan?,Customer Support,Neutral
"Hey there, Our Black Friday sale starts now! Don't miss out on these huge discounts.",Promotion,Positive
Here is the zoom link for our daily standup at 9:30 AM.,Meeting,Neutral
Our Black Friday sale starts now! Don't miss out on these huge discounts.,Promotion,Positive
"Dear team, Here is the budget breakdown for the next fiscal year.",Finance,Neutral
"Thank you for your guidance, I learned a lot during my internship.",Job/Career,Positive
"Hey there, Can someone please guide me on how to upgrade my subscription plan?",Customer Support,Neutral
We noticed an overdue balance on your account. Please pay immediately to avoid fees.,Finance,Negative
"Hi, Upgrade now to premium and get the first month entirely free.",Promotion,Positive
"Hey there, Emergency maintenance will be performed tonight from 12 AM to 4 AM.",Important,Negative
We noticed an overdue balance on your account. Please pay immediately to avoid fees.,Finance,Negative
We noticed an overdue balance on your account. Please pay immediately to avoid fees.,Finance,Negative
It was wonderful seeing you over the weekend. Let's catch up again soon!,Personal,Positive
Here is the budget breakdown for the next fiscal year.,Finance,Neutral
"Hey, are we still on for dinner tonight at 2 PM?",Personal,Neutral
"Hello, Please find attached the report for Q3. Let me know if you need any revisions.",Work,Neutral
"Hey there, Please find my resume attached for the Software Engineer position.",Job/Career,Neutral
How do I reset my password? I forgot it.,Customer Support,Neutral
The lecture has been rescheduled to Tuesday at 19 AM in Room 302.,Education,Neutral
"Hi, Here is the zoom link for our daily standup at 9:30 AM.",Meeting,Neutral
"Dear team, The weather looks nice outside.",Other,Positive
Important notice: Your account will be suspended if you do not verify your email.,Important,Negative
I would like to schedule an interview with you for next Tuesday at 11 AM.,Job/Career,Neutral
"Hey there, I am looking forward to our catch-up meeting Monday.",Meeting,Positive
"Hello, We are excited to offer you the position of Data Scientist at our company!",Job/Career,Positive
Congratulations on passing the final exam with flying colors!,Education,Positive
Here is the recipe for the chocolate cake.,Other,Neutral
"Hello, Congratulations on passing the final exam with flying colors!",Education,Positive
"Hey there, Check out our new collection of winter wear.",Promotion,Neutral
"Dear team, I'm sorry, I won't be able to make it to your party. Feeling a bit sick.",Personal,Negative
Important notice: Your account will be suspended if you do not verify your email.,Important,Negative
The service at your restaurant was terrible. I waited an hour for my food.,Complaint,Negative
Please find my resume attached for the Software Engineer position.,Job/Career,Neutral
"Hey there, You have won $1,000,000! Click here to claim your prize immediately.",Spam,Positive
"Hey there, My internet connection keeps dropping every five minutes. Fix it.",Complaint,Negative
Upgrade now to premium and get the first month entirely free.,Promotion,Positive
Congratulations! You are the 100th visitor today. Claim your free iPhone.,Spam,Positive
"Hi, I am disputing the recent charge of $50 on my credit card. It was not authorized.",Finance,Negative
"Dear team, The lecture has been rescheduled to Thursday at 9 AM in Room 302.",Education,Neutral
Here is the recipe for the chocolate cake.,Other,Neutral
We need to postpone the meeting because key stakeholders are unavailable.,Meeting,Negative
It was wonderful seeing you over the weekend. Let's catch up again soon!,Personal,Positive
"Hey there, The weather looks nice outside.",Other,Positive
"Hello, Your payment has been successfully received. Thank you for your business.",Finance,Positive
I am disputing the recent charge of $50 on my credit card. It was not authorized.,Finance,Negative
"Hey there, I'm sorry, I won't be able to make it to your party. Feeling a bit sick.",Personal,Negative
"Hey there, The product I received is damaged. I want a full refund immediately.",Complaint,Negative
I am disappointed with the delay in the project delivery. We need to discuss this.,Work,Negative
"Hi, Let's schedule a meeting for Wednesday at 12 PM to discuss the roadmap.",Meeting,Neutral
Let's schedule a meeting for Monday at 4:30 PM to discuss the roadmap.,Meeting,Neutral
I need help configuring the API settings on my dashboard.,Customer Support,Neutral
"Hey there, Thank you for resolving my issue so quickly! Great support.",Customer Support,Positive
I would like to schedule an interview with you for next Tuesday at 11 AM.,Job/Career,Neutral
"Dear team, I would like to schedule an interview with you for next Tuesday at 11 AM.",Job/Career,Neutral
Here is the recipe for the chocolate cake.,Other,Neutral
"Hi, The lecture has been rescheduled to Monday at 9 AM in Room 302.",Education,Neutral
Your computer is infected with a virus! Call this number to fix it.,Spam,Negative
"Dear team, Unfortunately, we will not be moving forward with your application at this time.",Job/Career,Negative
"Hello, The server is down again. This is unacceptable, please fix it ASAP.",Work,Negative
It was wonderful seeing you over the weekend. Let's catch up again soon!,Personal,Positive
"Hello, We noticed an overdue balance on your account. Please pay immediately to avoid fees.",Finance,Negative
I am looking forward to our catch-up meeting Thursday.,Meeting,Positive
Important notice: Your account will be suspended if you do not verify your email.,Important,Negative
I need help configuring the API settings on my dashboard.,Customer Support,Neutral
"Hello, Your assignment is due on Friday by 11:59 PM via the student portal.",Education,Neutral
We noticed an overdue balance on your account. Please pay immediately to avoid fees.,Finance,Negative
We need to postpone the meeting because key stakeholders are unavailable.,Meeting,Negative
I am disappointed with the delay in the project delivery. We need to discuss this.,Work,Negative
I have been trying to reach support for days with no response. This is frustrating.,Complaint,Negative
It was wonderful seeing you over the weekend. Let's catch up again soon!,Personal,Positive
"Hey there, Your payment has been successfully received. Thank you for your business.",Finance,Positive
"Dear team, Important notice: Your account will be suspended if you do not verify your email.",Important,Negative
"Dear team, I am writing to request an extension on my project deadline due to a family emergency.",Education,Negative
The service at your restaurant was terrible. I waited an hour for my food.,Complaint,Negative
Do you know what time the library closes today?,Other,Neutral
Happy Birthday! Hope you have a fantastic day.,Personal,Positive
How do I reset my password? I forgot it.,Customer Support,Neutral
Please find my resume attached for the Software Engineer position.,Job/Career,Neutral
Get 50% off your next purchase using this exclusive promo code!,Promotion,Positive
"Hey there, Our Black Friday sale starts now! Don't miss out on these huge discounts.",Promotion,Positive
"Hey there, Can you pick up some groceries on your way back?",Personal,Neutral
Your payment has been successfully received. Thank you for your business.,Finance,Positive
"Hey there, The meeting yesterday was very productive. Thanks for organizing.",Meeting,Positive
URGENT: The production database is down. We need immediate assistance.,Important,Negative
We noticed an overdue balance on your account. Please pay immediately to avoid fees.,Finance,Negative
Happy Birthday! Hope you have a fantastic day.,Personal,Positive
Your payment has been successfully received. Thank you for your business.,Finance,Positive
"Hello, We noticed an overdue balance on your account. Please pay immediately to avoid fees.",Finance,Negative
Do you know what time the library closes today?,Other,Neutral
"Hey there, Here is the zoom link for our daily standup at 9:30 AM.",Meeting,Neutral
"Hi, I'm sorry, I won't be able to make it to your party. Feeling a bit sick.",Personal,Negative
I am writing to request an extension on my project deadline due to a family emergency.,Education,Negative
I am disputing the recent charge of $50 on my credit card. It was not authorized.,Finance,Negative
"Hey there, I would like to schedule an interview with you for next Tuesday at 11 AM.",Job/Career,Neutral
Our Black Friday sale starts now! Don't miss out on these huge discounts.,Promotion,Positive
"Hey there, Please find my resume attached for the Software Engineer position.",Job/Career,Neutral
"Hello, I'm sorry, I won't be able to make it to your party. Feeling a bit sick.",Personal,Negative
